"instance","type","num items","min i. value","max i. value","avg i. value","sum i. value","c. is rect","num grid points","num sides c.","area c.","min i. sides","max i. sides","avg i. sides","min i. area","max i. area","avg i. area","avg i-c area ratio","lower bound","upper bound","num i. packed","total score","improvement","loss","coverage","utilization","ms"
"atris13846","ATRIS","13846","1407615","14946613","6083387.157518417","84230578583","true","5582450221631","4","5.582445E12","4","12","8.848909432327027","1.787042E8","9.768972E8","5.039757620395782E8","9.027867933129268E-5","28737989418","72236262521","2578","26920637578","-0.041779861828001176","57309941005","1.9015199188E12","0.3406249266763936","0"
"jigsaw_cf1_4fd4c46e_6548","JIGSAW","6548","1","1","1.0","6548","false","14426345516830938","17","1.4426345510010108E16","3","20","4.7603848503359805","3.34116422355E10","5.6126671093257E13","6.528442564253009E12","4.5253612979968307E-4","1226","5394","300","300","-0.22216890595009597","6248","2.2657731246885245E15","0.15705801050698232","0"
"jigsaw_rcf2_x79af493_139","JIGSAW","139","5","2816","183.75539568345323","25542","false","19406656017517772","19","1.9406656010498036E16","3","19","4.741007194244604","6.38161424584E12","2.750368708969453E15","1.9539957618271684E14","0.010068688602354542","2483","21565","3","2574","0.004768892149669846","22968","2.1120201989784405E15","0.10882968182854082","0"
"random_rcf3_x7651267_1000","RANDOM","1000","1","1278","192.925","192925","false","919532599504","5","9.195325E11","3","19","5.586","5000000.0","8.3195E9","1.8146825E9","0.001973483808348264","38744","136063","65","43823","0.05218919224406334","149102","3.13701E11","0.34115270531492903","0"
"satris9986","SATRIS","9986","1479520","18304973","6717831.186961747","67084262233","true","2014963014961","4","2.01496E12","4","12","8.842779891848588","1.765431E8","9.722946E8","5.044467508111356E8","2.5035075178223666E-4","3535134978","32503810000","288","4008648871","0.016345721460867442","63075613362","2.225779001E11","0.11046268913526819","0"
"satris1685","SATRIS","1685","1500261","16498141","6755472.797032641","11382971663","true","42507513501501","4","4.25075E13","4","12","8.847477744807122","1.908355E10","9.325164E10","5.045391427002967E10","0.0011869414637423908","1037209616","6672193408","65","916999261","-0.021332866151392117","10465972402","5.143234335E12","0.12099592624830913","0"
"jigsaw_rcf3_27e14196_6595","JIGSAW","6595","1","3834","200.54708112206217","1322608","false","19397367523272616","16","1.9397367515491664E16","3","20","4.797877179681577","5.2077674496E10","7.1333458456069E13","1.0135954831565912E13","5.2254280502088E-4","93119","624380","85","135837","0.08040868800834242","1186771","4.385039604518538E15","0.22606364502896778","0"
"satris37349","SATRIS","37349","1333885","18639828","6701365.404830116","250289296505","true","6282330012931","4","6.282325E12","4","12","8.846983854989425","1.791157E8","1.00846675E9","5.046179412822298E8","8.032343778493308E-5","10297937437","103122969679","793","11652857979","0.014596499557012243","238636438526","6.381532516E11","0.10157915287731852","0"
"random_cf1_1943fa88_50000","RANDOM","50000","1","1","1.0","50000","false","21878791941068","13","2.187879172E13","3","22","6.47194","160000.0","5.717035E9","7.468140782E8","3.41341554761142E-5","15805","41566","9347","9347","-0.2506890260471255","40653","6.699122955E12","0.30619254667871576","0"
"satris6466","SATRIS","6466","1505587","17946335","6690576.009897928","43261264480","true","1624332624331","4","1.62433E12","4","12","8.873492112588927","1.878338E8","9.9422785E8","5.0242247490720695E8","3.093105926180068E-4","3813246864","25331832359","193","2717535579","-0.050919298819831656","40543728901","1.522167813E11","0.09371050297661189","0"
"jigsaw_rcf1_x25cf0d3_6582","JIGSAW","6582","1","3","2.004709814646004","13195","false","20289385217499040","15","2.0289385210701556E16","3","20","4.829079307201458","1.274202512E9","1.419778121894475E14","6.228532542706002E12","3.069847843108024E-4","5245","12476","512","1536","-0.5129304383902642","11659","3.714128039129413E15","0.18305769251058485","0"
"random_cf3_1ec21f4b_100","RANDOM","100","3","228","100.55","10055","false","3157150125005","8","3.15715E12","3","17","7.63","8.0E8","1.0815E11","3.28015E10","0.010389591878751405","2514","9815","13","2485","-0.00397205862210656","7570","7.407E11","0.2346103289359074","0"
"jigsaw_rcf3_x1944562_3300","JIGSAW","3300","2","2037","202.81848484848484","669301","false","22922925518288792","14","2.2922925507934808E16","3","20","4.765757575757576","4.320212224E10","3.2879330554708E13","9.471222337735893E12","4.131768580086959E-4","58877","588707","194","118734","0.11297397278372309","550567","3.9808924446040995E15","0.1736642403355587","0"
"atris11997","ATRIS","11997","1452454","14805843","6081405.566058181","72958622576","true","2418138112091","4","2.418135E12","4","12","8.883554221888806","1.849133E8","9.794746E8","5.039031894723681E8","2.0838505272549636E-4","13672447839","34555804933","1128","12373825604","-0.062184553429539706","60584796972","8.455965758E11","0.3496895648092435","0"
"jigsaw_rcf1_3335bb71_327","JIGSAW","327","1","3","2.003058103975535","655","false","20585118979203676","13","2.0585118970626936E16","3","16","4.669724770642202","2.204828160608E12","3.71458110778883E15","1.7939749639524956E14","0.008714911808439545","257","600","40","116","-0.4110787172011662","539","4.801047608029905E15","0.2332290435085926","0"
"random_rcf2_x4022b68_500","RANDOM","500","3","1275","210.306","105153","false","21085250580010","18","2.108525E13","3","17","6.044","6.0E8","5.585E11","1.025354E11","0.004862897048884884","15553","61603","28","17282","0.03754614549402823","87871","6.71455E12","0.3184477300482565","0"
"random_cf2_6d9eb964_10000","RANDOM","10000","1","458","100.4932","1004932","false","53886928872509","17","5.38869285E13","3","22","5.4621","2000000.0","6.9173E10","1.5114922E10","2.804932925431072E-4","64302","360221","583","172031","0.3640489458263917","832901","2.5964682E13","0.4818363696494596","0"
"jigsaw_rcf4_x6f71c05_3333","JIGSAW","3333","2","3252","198.2976297629763","660926","false","24467060859209648","18","2.4467060848159656E16","3","20","4.8250825082508255","3.12667418016E11","1.62820708036052E14","1.9205613324377754E13","7.849579254151546E-4","47322","370111","50","72642","0.0784413347418902","588284","5.174780059466912E15","0.2114998647193925","0"
"atris1240","ATRIS","1240","1600718","13299531","6072933.867741936","7530437996","true","31178011235601","4","3.1178E13","4","12","8.820967741935483","2.050519E10","9.280773E10","5.028699040322581E10","0.0016128998140748543","1855086690","4354648185","135","1482702125","-0.1489799573824848","6047735871","1.015692841E13","0.32577228847264095","0"
"atris4630","ATRIS","4630","1441448","14930390","6099571.711231101","28241017023","true","133688275325101","4","1.3368825E14","4","12","8.863930885529157","1.96355E10","9.619718E10","5.053000851403888E10","3.779689577359183E-4","7285078831","18290848841","651","6968629717","-0.02875301898117713","21272387306","4.847360292E13","0.36258686099937726","0"
"satris1786","SATRIS","1786","1497537","17008071","6905370.396416574","12332991528","true","36604012320801","4","3.6604E13","4","12","9.053751399776036","2.110482E10","9.314196E10","5.123718275195969E10","0.0013997700456769666","1053528133","5951257904","54","769247118","-0.058043425891575184","11563744410","4.183474395E12","0.1142900883783193","0"
"random_rcf1_x57ba9ab_1000","RANDOM","1000","1","3","2.141","2141","false","57765800700009","17","5.77658E13","3","20","6.449","9.0E8","6.834E11","1.615374E11","0.002796419334623601","472","1494","106","316","-0.15264187866927592","1825","1.357695E13","0.23503439751548494","0"
"atris10619","ATRIS","10619","1358290","14982828","6122851.620679913","65018561360","true","2687583291721","4","2.68758E12","4","12","8.925510876730389","1.891014E8","1.0301362E9","5.061838090969018E8","1.8834185739472005E-4","14270109613","37506990975","1204","13354196543","-0.03941635091780523","51664364817","9.121336339E11","0.3393884587249496","0"
"atris49252","ATRIS","49252","1356193","15752462","6083004.2056566235","299600123137","true","19882660453061","4","1.988265E13","4","12","8.84654430276943","1.817379E8","9.976488E8","5.046150961240153E8","2.537967002004337E-5","102084126861","256888279395","9041","94967536158","-0.045971574964288935","204632586979","6.71022175135E12","0.3374913178751323","0"
"random_cf2_74ae2d30_50","RANDOM","50","2","249","100.56","5028","false","62530002026376","15","6.253E13","3","19","6.38","3.5E10","5.42E12","2.1851E12","0.034944826483288026","566","2885","5","869","0.13065976714100905","4159","1.8895E13","0.3021749560211099","0"
"atris19260","ATRIS","19260","1423251","15169876","6079509.724714434","117091357298","true","7753671669111","4","7.753665E12","4","12","8.871858774662513","1.756111E8","9.828724E8","5.032230483748702E8","6.490131420107397E-5","40762629543","100389597494","3669","38248519323","-0.042163978924201456","78842837975","2.7018449175E12","0.3484603626156147","0"
"random_cf1_x5c10455_10000","RANDOM","10000","1","1","1.0","10000","false","49432087932319","19","4.94320875E13","3","21","5.6546","1000000.0","9.1192E10","1.7185781E10","3.476644800808786E-4","1876","6032","922","922","-0.2295476419634264","9078","1.6563028E13","0.335066327109896","0"
"satris16903","SATRIS","16903","1344492","19579126","6666300.351002781","112680474833","true","4242439328291","4","4.242435E12","4","12","8.81109862154647","1.831307E8","9.970087E8","5.0197351029403067E8","1.183220273955949E-4","7831200767","66221342170","621","8558899112","0.012462691946188915","104121575721","4.797003139E11","0.1130719301297486","0"
"jigsaw_cf1_26916b6b_6598","JIGSAW","6598","1","1","1.0","6598","false","14662770038034064","15","1.4662770031493672E16","3","20","4.820703243407093","3.2558535097E10","9.40579726047795E13","4.936391951048387E12","3.3666162262967203E-4","2584","5994","418","418","-0.6351906158357771","6180","2.128973246945262E15","0.14519584242080533","0"
"satris3576","SATRIS","3576","1515564","17675143","6750238.308165548","24138852190","true","164243279399101","4","1.6424325E14","4","12","8.855704697986576","2.06162E10","9.688921E10","5.052224086828859E10","3.076061930599193E-4","3399779464","22800400238","287","3724939256","0.01676027771419393","20413912934","2.161441652E13","0.1316000293467159","0"
"satris48291","SATRIS","48291","1352299","19066309","6702795.446791328","323684694921","true","16202183980871","4","1.6202175E13","4","12","8.8661241225073","1.751684E8","1.00550345E9","5.032669206819076E8","3.106168898199826E-5","29882342064","241438662485","2235","30951425878","0.005053424127780765","292733269043","1.74533810255E12","0.10772245717318817","0"
"jigsaw_rcf1_2197ecdd_6585","JIGSAW","6585","1","3","1.9910402429764618","13111","false","15897849355954556","11","1.5897849348552708E16","3","20","4.785573272589218","2.7059515392E10","6.2280667467049E13","7.049579126999477E12","4.434297352076272E-4","2785","11118","329","987","-0.2157686307452298","12124","2.572186769461783E15","0.1617946373165215","0"
"random_cf3_327b5d4c_5000","RANDOM","5000","1","608","100.4844","502422","false","15595195761564","14","1.55951955E13","3","20","5.2324","9500000.0","5.9171E10","7.6495786E9","4.905086698015424E-4","72398","251354","286","84163","0.06574241713046783","418259","6.625251E12","0.42482641528924725","0"
"satris3041","SATRIS","3041","1475238","17519366","6669543.4219006905","20282081546","true","101478021030401","4","1.01478E14","4","12","8.835909240381454","1.812528E10","9.602986E10","5.005490039460704E10","4.932586412287101E-4","2115655782","15127796891","138","1889523041","-0.017378595813381754","18392558505","1.057058953E13","0.10416631713277755","0"
"random_rcf4_32e6daf1_10000","RANDOM","10000","1","1575","204.3297","2043297","false","38463662851463","20","3.84636625E13","3","20","4.5829","1500000.0","9.8274E10","1.57421031E10","4.0927207854946215E-4","258047","791056","423","319337","0.1149886774894983","1723960","1.66708795E13","0.43341893143951127","0"
"atris39445","ATRIS","39445","1379199","15944776","6083954.3520851815","239981579418","true","7952655681061","4","7.95265E12","4","12","8.875801749271137","1.7487E8","1.0025166E9","5.0403333730003804E8","6.337929335504995E-5","40886162863","113767486001","3331","38100013856","-0.038228573344153714","201881565562","2.5706580381E12","0.3232454638516721","0"
"jigsaw_rcf1_6d3a7c3b_1325","JIGSAW","1325","1","3","1.9954716981132075","2644","false","16234563265271340","13","1.6234563257643372E16","3","19","4.773584905660377","1.45032174272E11","1.237824365874315E14","1.7035259165780275E13","0.0010493204464715076","811","2541","181","543","-0.15491329479768787","2101","2.078697330696918E15","0.12804146916106593","0"
"random_cf1_x665a736_100","RANDOM","100","1","1","1.0","100","false","1239750175007","12","1.23975E12","3","18","6.72","2.2E9","7.56E10","2.3499E10","0.018954627949183303","12","75","10","10","-0.031746031746031744","90","2.0925E11","0.16878402903811252","0"
"random_rcf4_7cbb0868_50000","RANDOM","50000","1","2277","199.2999","9964995","false","22835230010456","9","2.283522973E13","3","21","5.6303","50000.0","5.480805E9","7.306104076E8","3.199487880080986E-5","2761678","7945063","6158","3269541","0.09797902336021731","6695454","9.08283595E12","0.3977554006416383","0"
"random_rcf1_x831dfdb_10000","RANDOM","10000","1","3","1.9543","19543","false","43832594400946","14","4.3832594E13","3","20","4.1293","4000000.0","1.26685E11","1.513061345E10","3.4519092002631646E-4","4533","12920","996","2988","-0.18421366400381542","16555","1.43026235E13","0.3263010968504397","0"
"random_rcf2_x2871624_50","RANDOM","50","4","630","190.3","9515","false","55205002287115","9","5.5205E13","3","12","5.24","3.5E10","4.98E12","2.235E12","0.04048546327325424","1307","6733","4","1515","0.03833394765941762","8000","1.124E13","0.2036047459469251","0"
"random_cf4_50e0d4d9_100","RANDOM","100","8","361","100.54","10054","false","2404750100005","8","2.40475E12","3","19","7.5","2.55E9","1.1275E11","2.8431E10","0.011822850608171327","1398","8951","11","2021","0.082483781278962","8033","5.392E11","0.2242228921925356","0"
"atris18921","ATRIS","18921","1365323","15233176","6079555.954177897","115031278209","true","5444300129531","4","5.444295E12","4","12","8.832936948364251","1.82652E8","9.886929E8","5.035419338935574E8","9.248983273198043E-5","28520144902","74589887911","2424","26564665561","-0.042446065753351074","88466612648","1.8253351755E12","0.33527484743203667","0"
"random_cf2_x55f520f_50000","RANDOM","50000","1","644","100.49496","5024748","false","7933141912549","6","7.93314173E12","3","22","6.86254","630000.0","4.93338E9","7.668691539E8","9.666651372179633E-5","201709","1048811","1496","468376","0.31479916232047617","4556372","3.585482415E12","0.45196248056947297","0"
"atris41643","ATRIS","41643","1371988","15131866","6119066.596786975","254816290290","true","10531756712701","4","1.053175E13","4","12","8.888168479696468","1.688756E8","1.0048818E9","5.058113363410417E8","4.8027282867618556E-5","53621126937","147142442863","4657","51810648224","-0.01935899527368248","203005642066","3.5427873877E12","0.3363911399055238","0"
"atris5288","ATRIS","5288","1458810","14422019","6103521.362329803","32275420964","true","1527402527401","4","1.5274E12","4","12","8.857034795763994","1.815272E8","9.606347E8","5.054735643910741E8","3.3093725572284547E-4","8344101433","20940468556","742","7999374142","-0.027367199418200063","24276046822","5.5456537845E11","0.363078027006678","0"
"jigsaw_rcf4_x4ee7385_1339","JIGSAW","1339","30","1284","200.1613144137416","268016","false","14069442243167268","20","1.4069442236385266E16","3","20","4.7759522031366695","2.934604690198E12","3.8663757780434E13","1.2680523072076447E13","9.012811495315068E-4","39403","245891","109","56020","0.08047441013521367","211996","2.673082071228974E15","0.1899920427773649","0"
"random_rcf3_75bcfc60_10000","RANDOM","10000","1","1200","201.8278","2018278","false","48670246407424","19","4.8670246E13","3","21","6.6231","1.2E7","7.87395E10","1.5804209E10","3.2472013804902487E-4","296210","989304","426","287303","-0.012851070706137984","1730975","1.7452578E13","0.35858824300990794","0"
"jigsaw_cf1_203072aa_32622","JIGSAW","32622","1","1","1.0","32622","false","20876340671760856","16","2.0876340663346464E16","3","20","4.83826865305622","1.72933768E9","8.9230683392415E12","1.2668471125069766E12","6.068338953345581E-5","9404","28613","2425","2425","-0.36331927742204173","30197","3.3321324365620505E15","0.15961285985395066","0"
