instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
atris39445,ATRIS,39445,1379199,15944776,6083954.352,2.40E+11,TRUE,7.95E+12,4,7.95E+12,4,12,8.875801749,1.75E+08,1.00E+09,5.04E+08,6.34E-05,40886162863,0,9718,28944402100,0.292073404,2.11E+11,3.32E+12,0.417594113,0
atris5288,ATRIS,5288,1458810,14422019,6103521.362,32275420964,TRUE,1.53E+12,4,1.53E+12,4,12,8.857034796,1.82E+08,9.61E+08,5.05E+08,3.31E-04,8344101433,0,1769,5759828636,0.309712534,26515592328,6.35E+11,0.415901619,0
atris10681,ATRIS,10681,1372699,15437026,6123548.411,65405620574,TRUE,3.60E+12,4,3.60E+12,4,12,8.871266735,1.72E+08,9.65E+08,5.06E+08,1.40E-04,18754897470,0,3920,13255682750,0.293214864,52149937824,1.43E+12,0.396099406,0
atris2890,ATRIS,2890,1445459,14263176,6107580.628,17650908015,TRUE,7.29E+13,4,7.29E+13,4,12,8.903806228,1.79E+10,9.71E+10,5.05E+10,6.92E-04,4205975997,0,880,2815375692,0.330624879,14835532323,3.12E+13,0.427694174,0
atris15979,ATRIS,15979,1366945,15049268,6098640.707,97450179857,TRUE,3.23E+12,4,3.23E+12,4,12,8.848864134,1.75E+08,9.91E+08,5.06E+08,1.56E-04,18468128588,0,4026,11997653267,0.350359014,85452526590,1.38E+12,0.425834975,0
atris6238,ATRIS,6238,1414991,14342158,6124367.734,38203805926,TRUE,1.06E+12,4,1.06E+12,4,12,8.853158063,1.85E+08,9.84E+08,5.07E+08,4.81E-04,5336252221,0,1353,3889784330,0.271064378,34314021596,4.53E+11,0.429685742,0
atris41643,ATRIS,41643,1371988,15131866,6119066.597,2.55E+11,TRUE,1.05E+13,4,1.05E+13,4,12,8.88816848,1.69E+08,1.00E+09,5.06E+08,4.80E-05,53621126937,0,12495,39676730277,0.260054151,2.15E+11,4.43E+12,0.420626395,0
atris11997,ATRIS,11997,1452454,14805843,6081405.566,72958622576,TRUE,2.42E+12,4,2.42E+12,4,12,8.883554222,1.85E+08,9.79E+08,5.04E+08,2.08E-04,13672447839,0,3023,9043778016,0.338539951,63914844560,1.03E+12,0.427172476,0
atris2812,ATRIS,2812,1543709,13789644,6113940.475,17192400617,TRUE,9.44E+13,4,9.44E+13,4,12,8.861308677,1.88E+10,9.81E+10,5.04E+10,5.33E-04,4933037321,0,1099,3849322207,0.219685164,13343078410,4.04E+13,0.427917015,0
atris11358,ATRIS,11358,1394952,15143636,6110451.572,69402508958,TRUE,3.28E+12,4,3.28E+12,4,12,8.889064976,1.76E+08,1.00E+09,5.06E+08,1.54E-04,17133154853,0,3961,13204406350,0.229306776,56198102608,1.44E+12,0.439045902,0
