instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
atris15979,ATRIS,15979,1366945,15049268,6098640.707,97450179857,TRUE,3.23E+12,4,3.23E+12,4,12,8.848864134,1.75E+08,9.91E+08,5.06E+08,1.56E-04,18468128588,0,1877,18468128588,0,78982051269,1.20E+12,0.372557104,0
atris6238,ATRIS,6238,1414991,14342158,6124367.734,38203805926,TRUE,1.06E+12,4,1.06E+12,4,12,8.853158063,1.85E+08,9.84E+08,5.07E+08,4.81E-04,5336252221,0,531,5336252221,0,32867553705,3.45E+11,0.326644134,0
atris41643,ATRIS,41643,1371988,15131866,6119066.597,2.55E+11,TRUE,1.05E+13,4,1.05E+13,4,12,8.88816848,1.69E+08,1.00E+09,5.06E+08,4.80E-05,53621126937,0,5510,53621126937,0,2.01E+11,3.51E+12,0.333135672,0
atris11997,ATRIS,11997,1452454,14805843,6081405.566,72958622576,TRUE,2.42E+12,4,2.42E+12,4,12,8.883554222,1.85E+08,9.79E+08,5.04E+08,2.08E-04,13672447839,0,1406,13672447839,0,59286174737,8.93E+11,0.369151687,0
atris2812,ATRIS,2812,1543709,13789644,6113940.475,17192400617,TRUE,9.44E+13,4,9.44E+13,4,12,8.861308677,1.88E+10,9.81E+10,5.04E+10,5.33E-04,4933037321,0,540,4933037321,0,12259363296,3.30E+13,0.349917117,0
atris11358,ATRIS,11358,1394952,15143636,6110451.572,69402508958,TRUE,3.28E+12,4,3.28E+12,4,12,8.889064976,1.76E+08,1.00E+09,5.06E+08,1.54E-04,17133154853,0,1808,17133154853,0,52269354105,1.13E+12,0.345577282,0
jigsaw_cf2_x1e8d2b3_39,JIGSAW,39,14,408,100.4615385,3918,FALSE,1.57E+16,19,1.57E+16,3,10,4.897435897,1.27E+14,3.92E+15,9.62E+14,0.061169535,307,0,9,307,0,3611,2.91E+15,0.184908721,0
jigsaw_rcf4_37b8d52e_1338,JIGSAW,1338,11,1494,196.5866966,263033,FALSE,2.20E+16,15,2.20E+16,3,20,4.761584454,2.11E+12,7.45E+13,2.27E+13,0.001033016,15793,0,80,15793,0,247240,1.20E+15,0.054734453,0
jigsaw_cf2_x38b54e9_31,JIGSAW,31,6,433,100.4516129,3114,FALSE,1.57E+16,15,1.57E+16,3,10,4.516129032,5.88E+13,4.48E+15,1.04E+15,0.065729668,166,0,4,166,0,2948,1.70E+15,0.107897753,0
jigsaw_cf1_1ae14c9d_1379,JIGSAW,1379,1,1,1,1379,FALSE,2.55E+16,11,2.55E+16,3,20,4.707759246,2.78E+10,1.50E+15,7.58E+13,0.002968483,323,0,323,323,0,1056,1.34E+15,0.052440559,0
jigsaw_rcf1_6d3a7c3b_1325,JIGSAW,1325,1,3,1.995471698,2644,FALSE,1.62E+16,13,1.62E+16,3,19,4.773584906,1.45E+11,1.24E+14,1.70E+13,0.00104932,811,0,379,811,0,1833,1.16E+15,0.071528653,0
jigsaw_cf2_ebad6b02_335,JIGSAW,335,3,995,100.5074627,33670,FALSE,2.37E+16,13,2.37E+16,3,18,4.749253731,2.96E+12,1.14E+15,1.15E+14,0.004841687,2028,0,87,2028,0,31642,2.28E+15,0.09618928,0
jigsaw_rcf1_x251b042_3318,JIGSAW,3318,1,3,1.999095841,6633,FALSE,2.13E+16,11,2.13E+16,3,20,4.76702833,1.71E+10,1.25E+14,1.43E+13,6.75E-04,1290,0,506,1290,0,5343,1.06E+15,0.049883371,0
jigsaw_rcf3_5a515084_1325,JIGSAW,1325,1,4089,201.1358491,266505,FALSE,1.58E+16,19,1.58E+16,3,19,4.788679245,3.63E+10,4.52E+14,2.43E+13,0.001537057,39502,0,184,39502,0,227003,2.54E+15,0.160561921,0
jigsaw_cf4_x412b2f8_32731,JIGSAW,32731,1,3786,100.5042315,3289604,FALSE,1.75E+16,12,1.75E+16,3,20,4.834713269,6.64E+08,2.06E+13,1.02E+12,5.81E-05,299252,0,1906,299252,0,2990352,2.14E+15,0.122562471,0
jigsaw_rcf2_534443c6_61,JIGSAW,61,6,2062,195.1639344,11905,FALSE,2.02E+16,11,2.02E+16,3,12,4.786885246,2.24E+13,5.16E+15,5.01E+14,0.024823915,1126,0,21,1126,0,10779,3.06E+15,0.151717869,0
jigsaw_cf2_x338dc47_32816,JIGSAW,32816,1,763,100.4992686,3297984,FALSE,1.54E+16,16,1.54E+16,3,20,4.820301073,1.95E+08,5.82E+12,7.64E+11,4.94E-05,177657,0,9558,177657,0,3120327,1.31E+15,0.084787212,0
