instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms
jigsaw_rcf1_x7c5577e_36,JIGSAW,36,1,3,2.111111111,76,FALSE,1.66E+16,16,1.66E+16,3,10,4.416666667,1.57E+14,1.25E+15,4.73E+14,0.028419034,13,0,5,6,0.538461538,70,2.84E+15,0.170563842,0
jigsaw_rcf2_x79af493_139,JIGSAW,139,5,2816,183.7553957,25542,FALSE,1.94E+16,19,1.94E+16,3,19,4.741007194,6.38E+12,2.75E+15,1.95E+14,0.010068689,2483,0,9,1993,0.197341925,23549,3.86E+15,0.198943492,0
jigsaw_cf1_4a53ec61_3293,JIGSAW,3293,1,1,1,3293,FALSE,1.51E+16,17,1.51E+16,3,20,4.714849681,1.24E+10,3.33E+14,1.63E+13,0.001080161,1033,0,11,11,0.989351404,3282,2.99E+15,0.19764131,0
jigsaw_rcf4_xb9f4bdd_33015,JIGSAW,33015,1,6033,200.8218991,6630135,FALSE,2.64E+16,12,2.64E+16,3,20,4.832379222,1.22E+09,1.54E+13,1.64E+12,6.22E-05,538578,0,1086,289816,0.461886672,6340319,5.02E+15,0.190412912,0
jigsaw_cf1_203072aa_32622,JIGSAW,32622,1,1,1,32622,FALSE,2.09E+16,16,2.09E+16,3,20,4.838268653,1.73E+09,8.92E+12,1.27E+12,6.07E-05,9404,0,667,667,0.929072735,31955,4.83E+15,0.2311314,0
jigsaw_rcf3_x1142c4a_3315,JIGSAW,3315,3,3428,202.3432881,670768,FALSE,1.73E+16,11,1.73E+16,3,20,4.767722474,3.71E+11,1.30E+14,1.81E+13,0.001046801,50666,0,112,9913,0.80434611,660855,2.48E+15,0.14311422,0
jigsaw_rcf4_7702a097_70,JIGSAW,70,34,909,200.2714286,14019,FALSE,1.96E+16,16,1.96E+16,3,17,4.557142857,2.17E+14,2.13E+15,6.49E+14,0.033072686,1455,0,3,133,0.908591065,13886,8.68E+14,0.044229821,0
jigsaw_rcf3_x1944562_3300,JIGSAW,3300,2,2037,202.8184848,669301,FALSE,2.29E+16,14,2.29E+16,3,20,4.765757576,4.32E+10,3.29E+13,9.47E+12,4.13E-04,58877,0,110,6918,0.882500807,662383,9.56E+14,0.04169475,0
jigsaw_cf3_12497ba7_32852,JIGSAW,32852,1,1520,100.4986302,3301581,FALSE,2.11E+16,11,2.11E+16,3,20,4.816632169,6.52E+08,1.08E+13,1.34E+12,6.35E-05,242849,0,2156,134532,0.446026131,3167049,2.63E+15,0.12447885,0
jigsaw_cf2_x70a1e53_1324,JIGSAW,1324,4,324,100.4939577,133054,FALSE,2.01E+16,17,2.01E+16,3,20,4.773413897,1.26E+12,1.03E+14,3.17E+13,0.001576065,5163,0,85,10336,-1.001936858,122718,3.27E+15,0.162792948,0
jigsaw_rcf4_5b859f68_336,JIGSAW,336,2,4557,218.0446429,73263,FALSE,1.77E+16,16,1.77E+16,3,19,4.630952381,2.23E+12,2.32E+15,1.61E+14,0.009129515,2279,0,15,1587,0.303641948,71676,2.62E+15,0.148246483,0
jigsaw_cf1_x47a0fe7_1363,JIGSAW,1363,1,1,1,1363,FALSE,1.72E+16,19,1.72E+16,3,20,4.776962583,2.85E+12,6.02E+13,1.84E+13,0.001065948,159,0,89,89,0.440251572,1274,4.19E+15,0.243160181,0
